Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
460,2000.0,1990.57,0.0,2036.02,12000.0,11000.0,9870.1,9000.0,-156.5,1.0,idle,2069528.6,49.96,0.0065,0.06,0.0256,0.0,0.0,94.0
461,1667.14,1988.7,3655.32,2031.63,11947.74,11000.0,6604.42,9000.0,-145.71,1.0,idle,2236203.58,49.994,0.0071,0.028,0.0,75.0,97.0,100.0
462,1872.18,1986.65,0.0,2032.43,12000.0,11000.0,10000.0,9000.0,-146.9,1.0,idle,2063609.0,49.9579,0.0066,0.0625,0.0277,0.0,0.0,91.0
463,2000.0,1984.44,4000.0,2039.2,12000.0,11000.0,5877.39,9000.0,-146.25,1.0,idle,2252749.59,50.001,0.0074,0.0217,0.0,85.0,99.0,100.0
464,2000.0,1982.06,4000.0,2046.23,8115.83,11000.0,9760.64,9000.0,-151.82,1.0,idle,2253263.7,50.0011,0.0073,0.0215,0.0,85.0,99.0,100.0
465,1880.94,1979.51,0.0,2031.85,12000.0,11000.0,10000.0,9000.0,-130.43,1.0,idle,2064047.0,49.9579,0.0068,0.063,0.0275,0.0,0.0,90.0
466,1743.07,1976.8,136.25,2042.64,12000.0,11000.0,10000.0,9000.0,-140.13,1.0,idle,2069416.0,49.9579,0.0067,0.0629,0.0275,0.0,0.0,90.0
467,1876.2,1973.92,0.0,2039.01,12000.0,11000.0,10000.0,9000.0,-136.73,1.0,idle,2063810.0,49.9579,0.0068,0.0633,0.0276,0.0,0.0,90.0
468,0.0,1970.88,3851.94,2040.13,10031.78,11000.0,10000.0,9000.0,-127.29,1.0,idle,2153611.54,49.9609,0.0069,0.0604,0.0244,0.0,0.0,94.0
469,0.0,1967.67,1887.08,2044.38,12000.0,11000.0,10000.0,9000.0,-124.97,1.0,idle,2139837.2,49.9581,0.0069,0.0632,0.0273,0.0,0.0,90.0
470,2000.0,1964.3,0.0,2042.12,12000.0,11000.0,9891.13,9000.0,-115.29,1.0,idle,2068215.17,49.9594,0.007,0.0623,0.0258,0.0,0.0,91.0
471,1742.35,1960.77,425.15,2048.07,11721.95,11000.0,10000.0,9000.0,-119.4,1.0,idle,2095381.0,49.9631,0.0071,0.0587,0.0219,0.0,0.0,95.0
472,0.0,1957.08,1889.27,2040.14,12000.0,11000.0,10000.0,9000.0,-107.94,1.0,idle,2140034.3,49.958,0.0069,0.0634,0.0273,0.0,0.0,89.0
473,2000.0,1953.22,4000.0,2041.49,7891.43,11000.0,10000.0,9000.0,-103.28,1.0,idle,2251395.17,50.0002,0.0076,0.0234,0.0,82.0,99.0,100.0
474,1988.18,1949.21,4000.0,2043.79,11881.33,11000.0,6018.4,9000.0,-105.09,1.0,idle,2251401.68,50.0002,0.0076,0.0232,0.0,84.0,99.0,100.0
475,1083.13,1945.04,3773.95,2044.82,11227.68,11000.0,7806.47,9000.0,-98.63,1.0,idle,2208190.65,49.9818,0.0074,0.041,0.0025,14.0,62.0,100.0
476,0.0,1940.71,4000.0,2037.64,11528.43,11000.0,8370.85,9000.0,-79.07,1.0,idle,2153387.73,49.9606,0.0072,0.0617,0.0244,0.0,0.0,93.0
477,1718.38,1936.22,2184.06,2045.53,11029.08,11000.0,8967.15,9000.0,-83.08,1.0,idle,2240016.6,49.9951,0.0077,0.0287,0.0,76.0,96.0,100.0
478,0.0,1931.58,1900.69,2046.32,12000.0,11000.0,10000.0,9000.0,-77.21,1.0,idle,2141062.1,49.9582,0.0072,0.0642,0.0269,0.0,0.0,89.0
479,2000.0,1926.78,0.0,2039.85,12000.0,11000.0,9899.97,9000.0,-66.66,1.0,idle,2066339.13,49.9585,0.0072,0.0637,0.0266,0.0,0.0,89.0
480,0.0,1921.83,3991.56,2047.21,11996.24,11000.0,7910.4,9000.0,-70.84,1.0,idle,2154248.5,49.9608,0.0072,0.0614,0.0243,0.0,0.0,93.0
481,182.07,1916.73,4000.0,2042.92,12000.0,11000.0,7719.96,9000.0,-57.63,1.0,idle,2162966.74,49.9641,0.0073,0.0585,0.0208,0.0,0.0,96.0
482,1907.26,1911.48,0.0,2041.9,12000.0,11000.0,10000.0,9000.0,-46.12,1.0,idle,2065363.0,49.9581,0.0073,0.0645,0.027,0.0,0.0,88.0
483,370.73,1906.08,3114.74,2048.17,10420.23,11000.0,10000.0,9000.0,-48.56,1.0,idle,2172872.21,49.9677,0.0075,0.0555,0.017,0.0,4.0,98.0
484,68.71,1900.54,4000.0,2044.6,11932.6,11000.0,7537.21,9000.0,-406.62,1.0,idle,2157449.62,49.9619,0.0074,0.0609,0.0229,0.0,0.0,94.0
485,0.0,1894.84,4000.0,2041.22,12000.0,11000.0,8475.91,9000.0,539.85,0.95,discharging,2153709.79,49.9606,0.0074,0.0621,0.0243,0.0,0.0,93.0
