Index,solar_needed,solar_availability,wind_needed,wind_availability,coal_needed,coal_availability,gas_needed,gas_availability,sortfall,BMS_status,BMS_action,total_cost,frequency_mean,frequency_std_dev,frequency_max_deviation,frequency_min_deviation,within_0_01,within_0_02,within_0_05
34,1991.12,0.0,3910.53,2530.38,12000.0,11500.0,1769.84,9500.0,-3858.89,0.23,charging,2292734.44,49.9918,0.0044,0.021,0.0,68.0,98.0,100.0
35,1691.22,0.0,234.55,2553.12,12000.0,11500.0,10000.0,9500.0,372.65,0.2,discharging,2086109.5,49.9499,0.0039,0.0616,0.0406,0.0,0.0,47.0
36,152.4,0.0,1774.56,2565.16,12000.0,12000.0,10000.0,9500.0,-138.2,0.24,charging,2289710.4,49.9871,0.0042,0.0254,0.0026,22.0,95.0,100.0
37,840.07,0.0,1915.38,2580.99,12000.0,12000.0,9176.38,9500.0,-149.16,0.28,charging,2302384.2,49.9898,0.0042,0.0225,0.0,47.0,98.0,100.0
38,1855.42,0.0,1582.37,2595.66,12000.0,12000.0,8492.44,9500.0,-165.43,0.32,charging,2272413.3,49.9834,0.0041,0.0285,0.0067,5.0,81.0,100.0
39,1515.84,0.0,344.87,2610.02,12000.0,12000.0,10000.0,9500.0,-249.31,0.36,charging,2161038.3,49.9613,0.0038,0.0498,0.0295,0.0,0.0,100.0
40,1000.21,0.0,922.7,2621.24,12000.0,12000.0,10000.0,9500.0,-198.33,0.4,charging,2213043.0,49.9713,0.0039,0.0401,0.0192,0.0,1.0,100.0
41,54.5,0.0,1865.39,2632.93,12000.0,12000.0,10000.0,9500.0,-213.04,0.44,charging,2297885.1,49.9889,0.004,0.0229,0.0014,42.0,98.0,100.0
42,602.28,0.0,1321.98,2653.92,12000.0,12000.0,10000.0,9500.0,-229.66,0.48,charging,2248978.2,49.9786,0.0039,0.0326,0.0121,0.0,36.0,100.0
43,811.6,0.0,3462.61,2663.48,11192.02,12000.0,8460.54,9500.0,-236.71,0.52,charging,2369713.49,50.0049,0.0042,0.015,0.0001,90.0,100.0,100.0
44,1143.53,0.0,2066.19,2683.52,12000.0,12000.0,8710.77,9500.0,-263.03,0.56,charging,2315957.1,49.9928,0.004,0.019,0.0004,77.0,100.0,100.0
45,446.89,0.0,2675.76,2693.37,12000.0,12000.0,8801.76,9500.0,-268.96,0.6,charging,2370818.4,50.0051,0.004,0.0149,0.0004,89.0,100.0,100.0
46,2000.0,0.0,4000.0,2701.99,12000.0,12000.0,48.49,9500.0,-6153.5,0.64,charging,2373178.83,50.0057,0.0041,0.0157,0.0001,88.0,100.0,100.0
47,1008.49,0.0,2964.42,2723.11,12000.0,12000.0,7955.41,9500.0,-294.79,0.68,charging,2375079.77,50.0062,0.0039,0.0156,0.0,86.0,100.0,100.0
48,1200.48,0.0,723.44,2731.36,12000.0,12000.0,10000.0,9500.0,-307.44,0.72,charging,2195109.6,49.9679,0.0036,0.0426,0.0235,0.0,0.0,100.0
49,1495.88,0.0,3524.0,2742.76,9667.94,12000.0,9234.32,9500.0,-320.62,0.76,charging,2376848.72,50.0066,0.0039,0.0158,0.0,81.0,100.0,100.0
50,2000.0,0.0,3966.77,2759.48,10058.39,12000.0,7913.02,9500.0,-321.3,0.8,charging,2378353.42,50.0069,0.0039,0.0161,0.0003,81.0,100.0,100.0
51,1866.92,0.0,3878.56,2776.83,9210.34,12000.0,8966.45,9500.0,-354.56,0.84,charging,2379914.93,50.0073,0.0039,0.0165,0.0001,79.0,100.0,100.0
52,1230.77,0.0,2018.75,2789.1,12000.0,12000.0,8673.65,9500.0,-365.93,0.88,charging,2311687.5,49.9919,0.0036,0.0187,0.0004,71.0,100.0,100.0
53,2000.0,0.0,4000.0,2799.83,12000.0,12000.0,50.58,9500.0,-6249.25,0.92,charging,2381984.88,50.0078,0.0039,0.0171,0.0005,73.0,100.0,100.0
54,1420.92,0.0,493.59,2817.26,12000.0,12000.0,10000.0,9500.0,-402.75,0.96,charging,2174423.1,49.964,0.0035,0.0462,0.0278,0.0,0.0,100.0
55,127.56,0.0,1786.04,2826.69,12000.0,12000.0,10000.0,9500.0,-413.09,1.0,charging,2290743.6,49.9874,0.0037,0.0233,0.0038,21.0,97.0,100.0
56,1818.04,0.0,93.93,2837.8,12000.0,12000.0,10000.0,9500.0,-425.83,1.0,idle,2138453.7,49.9573,0.0033,0.0525,0.0349,0.0,0.0,98.0
57,1965.6,0.0,2401.24,2851.35,11979.48,12000.0,7567.4,9500.0,-437.63,1.0,idle,2346111.6,49.9997,0.0037,0.011,0.0,98.0,100.0,100.0
